的	白勹丶
萺	艹曰目
萬	艹日⽱
蒀	艹日皿
葃	艹日二
葨	艹田
萫	艹禾日
萪	艹禾⺀十
葮	艹几又
蓃	艹臼丨又
蓚	艹亻丨彡
蒊	艹亻匕
葟	艹白王
葲	艹白水
葠	艹亻彐又
萭	艹丿口⽱
葔	艹亻矢
葕	艹彳氵亍
萮	艹亼月刂
葊	艹亼口廾
葅	艹人人且
萲	艹爫二夂
葼	艹乂凵夂
葐	艹八刀皿
葄	艹月二
葋	艹月句
萯	艹⺈貝
葂	艹免力
葻	艹几丿虫
葪	艹⺈用刂
葾	艹夕㔾心
萻	艹立日
葹	艹方也
蒫	艹工
葁	艹⺷女
蒾	艹米辶
葥	艹丷一刂
蒍	艹丶灬
葓	艹氵龷八
萿	艹氵舌
蒅	艹氵九木
蓱	艹氵丷开
葏	艹氵彐丨
葷	艹冖車
蒏	艹冖西一
亁	十日干乙
惪	十心
悳	十目乙心
蔇	艹彐儿
喪	土吅
葞	艹弓耳
葦	艹丨㐄
葿	艹尸丨目
蒢	艹阝人八
葌	艹女女女
萾	艹乃又皿
葈	艹厶口木
遖	十冂丷辶
葇	艹矛木
蒃	艹彑
葒	艹糹工
葤	艹糹寸
葯	艹糹勹丶
孶	艹幺幺子
棈	木龶月
棖	木
椏	木亞
棷	木耳又
楛	木艹古
楉	木艹口
楧	木艹冂大
棶	木木人人
棾	木木冖几
棟	木木日
棲	木十彐女
棧	木戈戈
椡	木一厶刂
棑	木非
椃	木虍几
棏	木旦寸
椇	木八
椢	木囗王丶
椙	木日日
椚	木門
椣	木冂龷八
棝	木囗古
棞	木囗禾
棡	木冂丷山
棢	木冂丷亡
楇	木冂乙口
椥	木矢口
棅	木禾彐
楰	木臼人
棿	木臼儿
椞	木斤木
晳	木斤日
惁	木斤心
棆	木亼冂艹
検	木亼口人
椧	木亼口卩
棥	木乂乂木
猌	木人人犬
棌	木爫木
棯	木亽乙心
椕	木八刀木
棇	木八厶心
棴	木月卩又
棔	木氏日
椈	木勹米
棭	木亠亻丶
椨	木广亻寸
椊	木亠人十
椩	木广彐人
椄	木立女
棜	木方人⺀
棛	木月
椦	木丷夫力
椫	木丷
椗	木宀一龰
椬	木宀且
椌	木穴工
棙	木户犬
椖	木户方
棎	木冖八木
椂	木彐氺
極	木了口一
椮	木厶大彡
棳	木又又又
椔	木巛田
盚	求皿
皳	求皮
颪	下几丿虫
軲	車古
軻	車丁口
軷	車犮
軯	車干丷
軸	車由
軹	車口八
軮	車冂大
軦	車口儿
軼	車丿夫
軵	車亻寸
軱	車瓜
軤	車乎
軫	車人彡
軨	車亽龴
軧	車氏丶
軥	車句
軳	車勹巳
軴	車丶王
軶	車户乙
軺	車刀口
軽	車又土
軩	車厶口
軪	車幺力
喸	甫口匕
盙	甫皿
腎	臣又月
掔	臣又手
覄	覀亻犬
棗	木冂木冂
酠	西一丁口
酟	西一⺊口
厫	厂龶勹攵
鄏	厂二阝
遀	工月辶
厧	厂十八
硦	石王廾
硳	石土
硣	石耂子
硴	石艹亻
硨	石車
硤	石大人人
硥	石龙丿丿
戞	丆冂二戈
硜	石一巛工
硵	石⺊囗乂
硯	石目儿
硱	石囗木
硶	石山亽乙
硞	石⺧口
硢	石人于八
硷	石亼
硲	石谷
硡	石宀厶
硠	石丶彐
硧	石龴用
厤	厂禾禾
攲	大丁口又
敧	大丁口又
奤	大丆囬
猋	犬犬犬
尞	大丷日小
尳	尢骨
尰	尢千日二
豠	豕且
甤	豕生
豞	豕句
豟	豕户乙
殗	歹大电
殘	歹戈戈
殙	歹氏日
殕	歹立口
殔	歹彐氺
雲	⻗云
雬	⻗木
雮	⻗毛
雰	⻗八刀
朁	匚儿匚日
臶	一厶土子
臹	一厶土乙
臸	一厶土土
臵	一厶土口
猆	非犬
靟	非毛
惄	上小又心
軰	丬匕車
歮	止止止
雈	丨一⺊隹
啙	止匕吅
胔	止匕肉
歯	止米凵
遉	⺊貝辶
覘	⺊口目儿
虛	虍乙一
虝	虍几勿
菐	业丶
瓽	尚瓦
喫	口三丨大
暁	日十艹⺎
暏	日耂日
遈	旦龰辶
朂	日耳力
暎	日艹冂大
晽	日木木
敤	日木⺊又
褁	日木
睅	目日干
睈	目口王
睍	目目儿
睏	目囗木
睊	目口月
睋	目丿扌戈
貼	貝⺊口
晻	日大电
貺	貝口儿
貹	貝生
睉	目人人土
貾	貝氏丶
貯	貝宀丁
貱	貝皮
貽	貝厶口
睌	目免
逿	旦勿辶
睆	目宀二儿
煚	日匚火
暃	日非
啿	口其乙
嗏	口艹人朩
喖	口木古
閏	門王
開	門开
閑	門木
猒	日月犬
閎	門厶
閕	門牙
晿	日日日
間	門日
閖	門水
閐	門毛
閒	門月
晹	日日勿
閔	門亠乂
閌	門亠几
閍	門方
焸	日日火
焛	門火
閗	門⺀十
悶	門心
喓	口覀女
喴	口戌女
晲	日臼儿
喕	口丆囬
暀	日彳丶王
焽	日月火
晭	日⺆土口
晩	日⺈囗儿
敡	日勿⺊又
惖	日勿心
晬	日亠人十
晼	日宀夕㔾
跊	未
跇	廿乙
跍	古
跒	丁口
跕	⺊口
跙	且
跅	斤丶
跈	人彡
跉	亽龴
跔	句
跓	丶王
跘	丷二丨
跜	尸匕
貴	貝
畮	田母
畭	田人于八
蛣	虫士口
蛯	虫耂匕
蛨	虫丆日
蛕	虫月
塁	田土
蛚	虫歹刂
蛦	虫大弓
蛧	虫冂乂乂
蛜	虫亻彐丿
蛫	虫⺈厂㔾
蛒	虫夂口
蛥	虫夕夕
蛢	虫丷开
蛝	虫彐
畳	田冖且
蛠	虫力力力
蛡	虫羽
觍	冂龷八儿
敟	冂龷八攵
鄖	口貝阝
勛	口貝力
啺	口旦勿
遌	吅二乙辶
嗢	口日皿
喅	口日立
單	吅
嵒	品山
喦	品山
喌	吅⺍川
嗗	口骨
啣	口一卩
喢	口千臼
喠	口千日二
喺	口亻系
喞	口白匕卩
啽	口亼口廾
喩	口丿丶乙
喛	口爫二夂
喰	口食
喣	口句灬
喚	口⺈冂大
喒	口夂卜日
喼	口⺈彐心
喨	口冖几
喥	口广廿又
喭	口立丿彡
嗴	口乙厶
喗	口冖車
嘅	口彐儿
喡	口丨㐄
喲	口糹勹丶
幉	巾廿乙木
嵀	山木丶王
剴	山豆刂
凱	山豆几
嵗	山戌
崸	山頁
幁	巾頁
買	罒貝
幀	巾⺊貝
罥	罒口月
罦	罒爫子
罤	罒丷弓丿
崼	山旦龰
崱	山貝刂
崵	山旦勿
嵑	山日勹乙
幆	巾日勹乙
嵔	山田
嵓	山品
嵙	山禾⺀十
崲	山白王
帿	巾亻矢
崻	山彳土寸
嵂	山彳彐丨
崳	山亼月刂
嵈	山爫二夂
嵕	山乂凵夂
嵏	山乂凵夂
嵐	山几丿虫
嵉	山冖丁
嵜	山立口丨
嵃	山立丿彡
崹	山巾
崺	山方也
嵳	山工
嵄	山⺷大
崷	山丷西一
幈	巾尸丷开
幃	巾丨㐄
圏	囗丷夫己
圍	囗丨㐄
旤	冂乙冂儿
歄	冂乙冂欠
圎	囗厶貝
骭	骨干
骬	骨于
骮	骨弋
骫	骨九丶
骪	骨几丶
無	龷灬
掱	手手手
缿	缶𠂋
罀	缶儿
缾	缶丷开
甁	丿一瓦
氬	气亞
氭	气木日
毴	毛非
毱	毛勹米
毰	毛立口
毶	毛厶大彡
犆	牜十
甀	千艹二瓦
犅	牜冂丷山
兟	⺧儿⺧儿
惣	牜勿心
犉	牜子
犃	牜立口
犈	牜丷夫㔾
秿	禾甫
稉	禾一日乂
嵆	禾尢丶山
稈	禾日干
稇	禾囗木
惒	禾口心
稅	禾八口儿
棃	禾勹丿木
犂	禾勹丿牛
媝	禾火女
稊	禾丷弓丿
瓾	禾女瓦
稄	禾厶八夂
喬	丿大口口
筙	耒
筓	一干
筬	戊乙
筁	囗艹
筃	囗大
筳	丿士廴
筈	舌
筗	亻中
筕	彳亍
筄	儿
筍	勹日
笿	夂口
筊	六乂
筂	氵也
筆	彐二丨
筎	女口
傋	亻冂土
傌	亻馬
傤	亻十戈车
備	亻龷丿用
僃	亻艹勹用
傎	亻十八
僆	亻車辶
傆	亻厂白小
傄	亻大丷目
舃	臼一乙灬
遚	臼丨又辶
斞	臼人⺀十
惥	臼人心
牋	片戈戈
貸	亻弋貝
蜑	丿廴虫
偨	亻止匕木
順	川頁
絛	亻丨夂糸
傝	亻日羽
傊	亻口貝
傂	亻⺁虍几
傜	亻爫缶
傖	亻亽彐口
傟	亻八厶羽
傑	亻夕㐄木
雋	隹乙
傠	亻言寸
傐	亻高
傚	亻六乂攵
傏	亻广彐口
傡	亻立立
傗	亻亠幺田
傔	亻丷一
傢	亻宀豕
傛	亻宀谷
傓	亻户羽
鄓	自犬阝
臰	自歹匕
躰	身本
臮	自亻人人
臯	自十
鄎	自心阝
鳦	鳥乙
兠	白丬匕儿
皔	白日干
皒	白丿扌戈
鬽	白儿厶彡
鄔	烏阝
蛗	虫
衈	丿皿耳
衆	丿皿乑
衇	丿皿⺁
衉	丿皿夂口
衖	彳龷八亍
徚	彳木
徥	彳旦龰
衕	彳冂一亍
復	彳日夂
徧	彳户冂艹
徦	彳丨又
徫	彳丨㐄
須	彡頁
舼	舟龷八
舿	舟大二乙
舽	舟夂㐄
鈃	金开
鈇	金夫
鈨	金二儿
鈣	金下乙
鈢	金木
鈘	金十又
鈈	金不
鈦	金大丶
鈜	金厶
鈪	金厂㔾
鉅	金匚
釾	金牙
鈍	金屯
鈛	金戈
鈚	金匕匕
鈙	金⺊又
鈔	金少
鈤	金日
鈡	金中
淾	金水
鈉	金冂人
鈝	金牛
鈓	金丿士
鈋	金亻
釿	金斤
釽	金爪
鈑	金⺁又
鈐	金亽乙
鈖	金八刀
鈆	金八厶
鈅	金月
欽	金欠
鈞	金勹冫
鈠	金几又
鈎	金勹厶
鈫	金亠乂
鈧	金亠几
鈁	金方
鈥	金火
鈄	金⺀十
鈩	金户
鈂	金冖儿
鈊	金心
鈬	金尸丶
鈌	金人
鈏	金弓丨
鈟	金弓丨
鈕	金乙土
鈀	金巴
鉯	金乙丶人
鈗	金厶儿
翖	亼口羽
殽	乂月又
爺	父耳阝
睂	人人乙目
傘	人人人十
爲	爫灬
豾	豸不一
貃	豸白
豿	豸句
貁	豸穴
貀	豸屮凵
創	亽彐丿刂
飩	飠屯
飪	飠丿士
飫	飠丿大
飭	飠力
飯	飠⺁又
飲	飠欠
飰	飠丶下
雂	亽乙隹
敜	亽乙心攵
勜	八厶羽力
脹	月
朠	月艹冂大
腖	月木日
脼	月一巾丶
脻	月一彐龰
腂	月日木
腗	月由一
腡	月冂乙口
腁	月丿一干
腄	月千艹二
腇	月禾女
腉	月臼儿
脽	月隹
腀	月亼冂艹
腍	月亽乙心
朜	月子
脺	月亠人十
勝	月丷夫力
腃	月丷夫㔾
腅	月火火
腏	月又又又
覙	⺈小目儿
欿	⺈臼欠
匑	勹身弓
猲	犭日勹乙
颩	几丿虫彡
獀	犭臼丨又
猨	犭爫二夂
猣	犭乂凵夂
猦	犭几丿虫
獇	犭乙厶
猶	犭丷西一
猵	犭户冂艹
觛	⺈用旦
觝	⺈用氏丶
猳	犭丨又
猸	犭尸丨目
猤	犭癶天
猭	犭彑
凲	几丷一
夡	夕夕士口
翗	夕夕羽
貿	丶刀貝
鄒	勹䶹勹阝
証	言一止
詓	言土厶
詌	言甘
詍	言廿乙
詁	言古
訹	言木丶
訶	言丁口
詙	言犮
評	言干丷
詀	言⺊口
詚	言旦
詛	言且
訷	言申
詇	言冂大
詋	言口儿
詗	言冂口
訵	言四
詄	言丿夫
詐	言丨二
訸	言禾
詂	言亻寸
訴	言斤丶
診	言人彡
詅	言亽龴
詆	言氏丶
訽	言句
註	言丶王
詃	言亠幺
詊	言丷二丨
詝	言宀丁
詑	言宀匕
詠	言丶乙
詞	言乙一口
詘	言屮凵
詜	言屮又
詉	言女又
詔	言刀口
詖	言皮
詒	言厶口
詏	言幺力
馮	冫馬
亴	冖土九
稁	冖禾
凒	冫山豆
廂	广木目
凖	冫隹十
廁	广貝刂
庽	广日⽱
焤	广亻寸火
痚	疒耂子
痡	疒甫
痝	疒龙丿丿
痙	疒一巛工
痟	疒月
痩	疒申又
痜	疒禾几
痗	疒母
痥	疒丷口儿
痾	疒阝丁口
痠	疒厶八夂
凔	冫亽彐口
廀	广宀火又
廐	广彐儿
廄	广彐又
椉	亠夕㐄木
廃	广癶二儿
袲	衣夕夕
戠	立戈日
敨	立口攵
竧	立身
遃	立丿彡辶
竤	立宀厶
竢	立厶矢
凕	冫冖日六
旑	方大丁口
遊	方子辶
旔	方彐二廴
棄	廿木
鄐	亠幺田阝
阓	门贝
羢	戈
羠	大弓
艵	丷开⺈巴
絭	丷夫糸
粩	米耂匕
粠	米龷八
粨	米丆日
粫	米而
粬	米囗艹
粡	米冂一口
粭	米亼口
粦	米夕㐄
粧	米广土
焼	火十艹⺎
焟	火龷日
煐	火艹冂大
焻	火日日
焨	火曰月
焺	火日丿廾
焬	火日勿
焵	火冂丷山
焹	火冂丷亡
煱	火冂乙口
焳	火隹
焷	火白丿十
焮	火斤欠
焾	火亽乙心
焧	火八厶心
焩	火月月
焝	火氏日
焲	火亠亻丶
焠	火亠人十
焿	火广彐人
焴	火月
敥	火火⺊又
焭	火火冖几
勞	火火冖力
焢	火穴工
焪	火穴弓
焥	火宀夕㔾
煡	火彐二廴
煀	火尸屮凵
湱	氵三丨石
湊	氵天
湷	氵日
湗	氵土土寸
渽	氵十戈口
湁	氵扌亼口
湈	氵甘木
満	氵艹一山
湳	氵十冂干
渿	氵木示
湐	氵木白
溂	氵木口刂
湢	氵一口田
湅	氵木
減	氵戌口
湏	氵頁
湹	氵厂日土
渜	氵而大
湽	氵一巛田
湞	氵⺊貝
惉	氵⺊口心
硰	氵少石
渻	氵少目
湨	氵目犬
測	氵貝刂
湯	氵旦勿
湒	氵口耳
湡	氵日⽱
湦	氵日生
渨	氵田
渱	氵虫工
湂	氵吅二乙
湠	氵山火
溄	氵山夂丨
湩	氵千日二
湼	氵臼工
淵	氵片爿一
湺	氵亻口木
湶	氵白水
溾	氵白儿厶
渪	氵丿口⽱
湌	氵食
渙	氵⺈冂大
渢	氵几丿虫
盜	氵欠皿
渹	氵勹言
湰	氵夂一生
湚	氵儿幺月
湻	氵日
湸	氵冖几
湙	氵亦大
渷	氵亠八儿
湆	氵立日
湇	氵立月
渧	氵巾
湤	氵方也
溬	氵乙厶
湵	氵⺷丶
湭	氵丷西一
渞	氵首
溈	氵丶灬
湥	氵穴犬
渾	氵冖車
堻	氵彐二土
溊	氵丨又
渳	氵弓耳
湋	氵丨㐄
溋	氵乃又皿
湧	氵龴用力
湀	氵癶天
溌	氵癶二儿
渘	氵矛木
湪	氵彑
愜	忄匚大人
愖	忄其乙
愅	忄革
惵	忄廿乙木
愺	忄艹早
愝	忄匚日女
愊	忄一口田
愞	忄而大
惿	忄旦龰
惻	忄貝刂
愓	忄旦勿
愒	忄日勹乙
愄	忄田
愢	忄田心
愲	忄骨
愋	忄爫二夂
惾	忄乂凵夂
惸	忄勹日子
愌	忄⺈冂大
愡	忄勿丶心
愘	忄宀夂口
惲	忄冖車
惼	忄户冂艹
惽	忄民日
愇	忄丨㐄
愑	忄龴用力
慅	忄又丶虫
惱	忄巛乂
覚	⺍冖目儿
寋	宀八㔾
寕	宀丆罒丁
寊	宀⺊貝
寔	宀旦龰
悹	宀㠯心
寑	宀亻彐又
窛	穴二儿女
窙	穴耂子
寏	宀⺈冂大
惌	宀夕㔾心
寍	宀心皿
寎	宀爿一人
運	冖車辶
晵	户攵日
裓	衤戈廾
補	衤甫
裋	衤豆
裖	衤厂二
裌	衤大人人
裡	衤日土
裍	衤囗木
裐	衤口月
裑	衤身
裗	衤
裞	衤丷口儿
禇	礻耂日
禃	礻十
祻	礻囗古
禍	礻冂乙口
禆	礻白丿十
禂	礻⺆土口
祹	礻勹缶
祽	礻亠人十
祿	礻彑氺
鄍	冖日六阝
覕	必目儿
惢	心心心
尋	彐工口寸
畫	彐土田一
塈	彐匚土
覗	乙一口儿
屟	尸廿乙木
遅	尸羊辶
弽	弓廿乙木
弻	弓一囗弓
費	弓貝
弾	弓⺍
隞	阝龶勹攵
疎	乙止木口
塦	阝車土
違	丨口辶
韌	丨口丶
隓	阝工工
臦	臣臣
隕	阝口貝
隑	阝山豆
隖	阝烏
茻	䶹屮䶹屮
隒	阝丷一
媋	女日
媅	女其乙
媶	女艹耳
媟	女廿乙木
媩	女古月
婹	女覀女
媡	女木
媠	女工月
媙	女戌女
媔	女丆囬
媘	女匕匕白
媜	女⺊貝
媫	女⺊彐龰
婸	女旦勿
媢	女曰目
媀	女日⽱
媦	女田月
媤	女田心
媏	女山而
媑	女千日二
婣	女片爿一
媬	女亻口木
媿	女白儿厶
媮	女亼月刂
媕	女亼口廾
婾	女丿丶乙
媍	女⺈貝
媇	女亲
嫅	女工
媊	女丷一刂
媨	女丷西一
媯	女丶灬
媣	女氵九木
媗	女宀二日
媈	女冖車
媥	女户冂艹
婽	女丨又
媉	女尸一土
媁	女丨㐄
媃	女矛木
賀	力口貝
軬	厶大車
貵	厶大貝
辝	厶口立十
發	癶弓几又
矟	矛月
堥	矛攵土
嵍	矛攵山
叅	厶厶厶
敠	又又又又
毲	又又又毛
敪	又又又攵
欼	又又又欠
絫	厶厶厶糸
缋	纟贝
缏	纟亻一乂
鄕	乡白匕阝
綁	糹三丿阝
絨	糹戈
絓	糹土土
結	糹士口
絙	糹二日
絤	糹西
絚	糹二
絔	糹丆日
絠	糹月
絝	糹大二乙
絾	糹戊乙
絰	糹一厶土
紪	糹止匕
絖	糹⺎
絏	糹日乙丿
絽	糹吕
絧	糹冂一口
絪	糹囗大
絗	糹回
絑	糹丿未
綎	糹丿士廴
絬	糹舌
絥	糹亻犬
綖	糹丿廴
絍	糹亻丿士
絎	糹彳亍
絟	糹人王
絵	糹人云
給	糹亼口
絩	糹儿
絢	糹勹日
絳	糹夂㐄
絡	糹夂口
絶	糹⺈巴
絞	糹六乂
絘	糹冫欠
絯	糹亥
統	糹儿
絴	糹羊
絣	糹丷开
絒	糹⺍川
絕	糹刀巴
絲	糹糸
幾	幺幺戊丶
耡	耒且力
觢	三丨刀用
惷	日心
瑇	王龶母
瑊	王戌口
頊	王頁
瑌	王而大
瑎	王匕匕白
勣	龶貝力
瑒	王旦勿
瑥	王日皿
琾	王田人
瑍	王⺈冂大
瑐	王丷一刂
瑏	王穴牙
琿	王冖車
瑉	王民日
瑋	王丨㐄
嗸	龶勹攵口
嫯	龶勹攵女
瑵	王又丶虫
瑈	王矛木
剺	未攵厂刀
頑	二儿頁
搸	扌禾
塐	土龶糸
搆	扌冂土
犎	土土寸牛
摃	扌工貝
郌	土土口巴
搘	扌耂匕日
搕	扌土厶皿
摂	扌耳
墷	土艹一十
撶	扌艹一十
塨	土龷八
塻	土艹日大
搢	扌亚日
搷	扌十八
搟	扌車干
摙	扌車辶
載	十戈車
搹	扌一口丨
塛	土覀木
搮	扌覀木
酨	十戈西一
馯	馬干
馵	馬廾
馱	馬大
馲	馬丿七
馴	馬川
馰	馬勹丶
馺	馬乃丶
遤	馬辶
馳	馬也
搙	扌厂二寸
搣	扌戌火
靕	一止龶月
趌	走士口
趎	走丿未
趏	走舌
趒	走儿
趓	走几木
趍	走夕夕
趐	走羽
塒	土日土寸
搨	扌日羽
塤	土口貝
損	扌口貝
遠	土口辶
壾	壴匚
鼔	壴⺊又
塏	土山豆
搵	扌囗人皿
塖	土禾丬匕
塩	土口皿
赨	土虫
赩	土⺈巴
搝	扌自犬
塮	土身寸
搗	扌亻彐山
塢	土烏
摀	扌烏
裚	扌斤衣
勢	土八土力
摋	扌乂朩又
塪	土爫臼
搯	扌爫臼
搶	扌亽彐口
搇	扌亽乙衣
塕	土八厶羽
塡	土匕目八
塳	土夂三辶
摓	扌夂三辶
搩	扌夕㐄木
跫	工几丶足
搖	扌缶
塯	土丶田
搊	扌勹䶹䶹
塙	土高
墎	土子阝
塉	土人月
瓡	土丷干瓜
搼	扌丷夫手
塧	土皿
搤	扌皿
搳	扌宀三口
搾	扌穴二
搲	扌穴瓜
塎	土宀谷
搈	扌宀谷
摉	扌穴人夕
塜	土冖一豕
壼	士冖亞
嗀	士冖一又
亄	士冖豆乙
塚	土冖豕丶
搧	扌户羽
塓	土冖日六
搉	扌冖隹
搱	扌尸立十
搎	扌子系
搚	扌力力月
琧	亞王丶
聗	耳大人人
聖	耳口王
聕	耳⺧口
碁	其石
尠	其乙少
歁	其乙欠
蔜	艹龶勹攵
蓋	艹土厶皿
蒖	艹十八
蓕	艹木土土
蓒	艹車干
蓮	艹車辶
靹	革冂人
靲	革亽乙
蒪	艹甫寸
靷	革弓丨
靵	革乙土
皵	龷日皮
蒚	艹一口丨
蓛	艹木冂攵
蓜	艹西一己
蒧	艹戊⺊口
蒝	艹厂白小
輂	龷八車
蓫	艹豕辶
蒔	艹日土寸
蓽	艹龷
蒷	艹口貝
夢	艹罒冖夕
蒕	艹囗人皿
蒛	艹缶人
蒩	艹禾且
蓧	艹亻丨朩
蓨	艹亻丨月
蒦	艹隹又
蒠	艹自心
蒒	艹一巾
蓗	艹彳走
蒣	艹彳人八
蒑	艹⺁彐又
蒰	艹舟几又
蔱	艹乂朩又
蓌	艹人人夂
遳	艹人人辶
蓞	艹爫臼
蒵	艹爫幺大
蒼	艹亽彐口
蒥	艹丶田
蒭	艹勹䶹䶹
蓤	艹冫土夂
蓆	艹广廿巾
蓙	艹广人土
蓘	艹衣八厶
蓎	艹广彐口
蓔	艹⺷灬
蒞	艹氵亻立
蒤	艹氵人八
蓅	艹氵
蓡	艹氵彐又
蒮	艹冖隹
蒬	艹冖兔
嗭	十口匕
幹	十早人干
媐	巳女
兡	古儿丆日
蔯	艹阝木日
蓀	艹子系
蔭	艹阝亽云
蒘	艹女口手
蓪	艹龴用辶
蓩	艹矛夂力
蒓	艹糹屯
蒳	艹糹冂人
蒶	艹糹八刀
楱	木天
歀	木示欠
楳	木甘木
榵	木艹耳
榙	木艹亼口
槆	木艹勹日
楜	木古月
椻	木匚日女
楋	木木口刂
楅	木一口田
楆	木覀女
楕	木工月
椷	木戌口
楲	木戌女
楏	木大土土
楨	木⺊貝
楊	木旦勿
楬	木日勹乙
椳	木田
楐	木田人
榀	木品
楍	木口口口
椯	木山而
榾	木骨
楿	木禾日
椱	木日夂
棩	木片爿一
椺	木亻口木
楻	木白王
楾	木白水
楀	木丿口⽱
椼	木彳氵亍
楡	木丿丶乙
嗇	土人人回
厀	木人氺卩
楥	木爫二夂
椶	木乂凵夂
楓	木几丿虫
楤	木勿丶心
楟	木冖丁
榳	木广丿廴
楌	木立丿彡
楴	木巾
椾	木丷一刂
楢	木丷西一
榁	木宀一土
楁	木宀夂口
楎	木冖車
楄	木户冂艹
榊	木礻申
榋	木彐彐彐
椵	木丨又
楃	木尸一土
椲	木丨㐄
楈	木乙龰月
榌	木飞丿飞
楑	木癶天
楺	木矛木
愂	子力心
軭	車匚王
軾	車弋工
輁	車龷八
輌	車一冂山
輀	車而
輊	車一厶土
輄	車⺎
輈	車舟
輇	車人王
輅	車夂口
較	車六乂
輆	車亥
軿	車丷开
剸	寸刂
鄟	寸阝
畺	三田田
揧	木口刂手
剾	匚品刂
硻	臣又石
竪	臣又立
勡	覀示力
賈	覀貝
覅	覀女勿
酭	西一月
酫	西一人王
酧	西一宀寸
頍	十又頁
毻	工月毛
厪	厂堇
厯	厂木木⺀
嫑	不覀女
碔	石一弋止
揅	石开手
碐	石土八夂
碤	石艹冂大
碄	石木木
硹	石木八厶
碕	石大丁口
硽	石大电
硺	石豕丶
碊	石戈戈
碋	石山丁口
硸	石山厂干
碅	石囗禾
碙	石冂丷山
碢	石冂乙口
硾	石千艹二
碒	石金
碖	石亼冂艹
碂	石宀示
鳫	厂鳥
綔	大二乙系
豣	豕一干
豥	豕亥
豤	豕彐
殜	歹廿乙木
殟	歹日皿
尲	尢丷一
飱	歹食
頋	厂㔾頁
匯	匚氵隹
雸	⻗甘
雼	⻗石
電	⻗日乙
雵	⻗冂大
雽	⻗乎
雴	⻗立
雺	⻗矛
頓	屯頁
盞	戈戈皿
甅	瓦厂日土
歲	止戌
歳	止戌小
頉	止頁
歱	止千日二
貲	止匕貝
豦	虍豕
虡	虍业八
虜	虍田力
甝	虍几甘
業	业羊八
彂	业弓矢
鳪	卜鳥
揱	月刂手
甞	尚甘
當	尚田
暙	日日
睖	目土八夂
睰	目艹口
睞	目木人人
晸	日一止攵
尟	旦龰少
暔	日十冂干
睗	目日勿
睤	目田一
睓	目冂龷八
鼌	旦口电
暊	日頁
賎	貝㦮
賊	貝戈
睔	目亼冂艹
賄	貝月
賉	貝丿皿
賂	貝夂口
賍	貝广土
賋	貝六乂
賅	貝亥
賆	貝丷开
睜	目爫彐丨
睭	目⺆土口
睧	目氏日
敭	旦勿攵
睟	目亠人十
睠	目丷夫㔾
睒	目火火
睕	目宀夕㔾
睙	目户犬
睷	目彐二廴
睩	目彐氺
嗎	口馬
嗊	口工貝
嘩	口艹一十
嗼	口艹日大
閠	門王丶
嗹	口車辶
閜	門丁口
毷	曰目毛
暘	日旦勿
閛	門干丷
閘	門甲
暒	日日生
閝	門亽龴
暍	日日勹乙
閙	門亠巾
閚	門立
閟	門必
閞	門厶廾
黽	黽彐
鄤	日罒又阝
嗕	口厂二寸
琞	日月王丶
毼	日勹人毛
暆	日方也
暛	日工
暉	日冖車
暈	日冖車
暐	日丨㐄
號	口一乙几
跴	西
跠	大弓
跮	一厶土
跩	日乙丿
跦	丿未
跧	人王
跲	亼口
喍	口止匕木
跭	夂㐄
跢	夕夕
踭	⺈彐丨
跡	亦
跰	丷开
跥	乃木
園	囗土口
蜹	虫艹冂人
蛷	虫求
蛼	虫車
蜅	虫甫
蜄	虫厂二
蛺	虫大人人
蛖	虫龙丿丿
蜌	虫匕匕土
蛵	虫一巛工
蝆	虫丨一丨
蛽	虫貝
蜆	虫目儿
蜖	虫囬
蜏	虫禾乃
蜁	虫乙龰
蛻	虫八口儿
蛶	虫爫寸
蛿	虫亽乙口
蜔	虫勹田
蜋	虫丶彐
蝍	虫彐卩
圔	囗土厶皿
畷	田又又又
豊	囗艹豆
農	囗艹厂
嗩	口貝
嗶	口龷
嗮	口日西
圑	囗甫寸
喿	品木
嗰	口亻囗古
嗚	口烏
嗁	口⺁虍几
嗱	口亼口手
嗂	口爫缶
嗘	口爫幺大
嗆	口亽彐口
嗃	口高
嗙	口方
嗛	口丷一
嗋	口力力月
嗈	口巛口巴
幊	巾工貝
幙	巾艹日大
嵮	山十八
歂	山而欠
嵟	山厂隹
輋	山大車
罫	罒土土卜
睪	罒土丷干
罧	罒木木
罭	罒戈口一
睘	罒一口
遝	罒氺辶
罬	罒又又又
嵵	山日土寸
嵦	山山豆
嵨	山烏
幍	巾爫臼
嵠	山爫幺大
嵢	山亽彐口
嵡	山八厶羽
剻	山月月刂
嵥	山夕㐄木
嵧	山丶田
嵪	山高
嵣	山广彐口
嵭	山方
嵰	山丷一
幏	巾宀豕
嵱	山宀谷
幎	巾冖日六
圓	囗口貝
嵶	山弓冫冫
颒	水廾页
圕	囗彐土日
骯	骨亠几
锠	钅日日
勧	一隹力
榘	矢匚木
氱	气旦勿
毸	毛田心
毺	毛亼月刂
犑	牜目犬
犐	牜禾⺀十
犌	牜丨又
敮	千臼⺊又
稜	禾土八夂
稏	禾亞
稘	禾其
稓	禾龷日
稢	禾戈口一
馚	禾日八刀
稒	禾囗古
稛	禾囗禾
稐	禾亼冂艹
稝	禾月月
睝	禾勹丿目
稤	禾小
稕	禾子
稡	禾亠人十
稖	禾立口
甃	禾火瓦
湬	禾火水
